movie,title,genres,year,Rating,RottenTomato
4277,"Lost World, The",Adventure|Sci-Fi,1925,5,86
6986,Ben-Hur: A Tale of the Christ,Adventure|Drama|Romance,1924,4,64
25752,"Freshman, The",Comedy,1925,8,76
25755,"Phantom of the Opera, The",Drama|Horror,1925,1,97
957,"Scarlet Letter, The",Drama,1926,8,76
3022,"General, The",Comedy|War,1926,9,83
3492,"Son of the Sheik, The",Adventure|Comedy|Romance,1926,7,84
4404,Faust,Drama|Fantasy|Horror,1926,1,73
7309,"Black Pirate, The",Action|Adventure,1925,4,55
121618,The Great Gatsby,Drama,1926,3,69
1925,Wings,Action|Drama|Romance|War,1927,2,56
2010,Metropolis,Drama|Sci-Fi,1927,9,57
2227,"Lodger: A Story of the London Fog, The",Crime|Drama|Thriller,1926,6,67
7914,Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt),Documentary,1926,4,93
8125,Sunrise: A Song of Two Humans,Drama|Romance,1927,3,71
8275,College,Comedy,1927,7,82
8423,"Kid Brother, The",Children|Comedy|Romance,1927,10,100
58649,Napoléon,Drama|War,1926,4,71
2102,Steamboat Willie,Animation|Children|Comedy|Musical,1927,8,76
3306,"Circus, The",Comedy,1927,1,73
6985,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)",Drama,1927,9,64
25764,"Cameraman, The",Comedy|Drama|Romance,1927,8,94
25769,"Steamboat Bill, Jr.",Comedy|Romance,1927,5,99
1926,"Broadway Melody, The",Musical,1928,7,77
2221,Blackmail,Drama|Thriller,1928,8,89
6433,"Man with the Movie Camera, The (Chelovek s kino-apparatom)",Documentary,1929,3,74
25763,"Pandora's Box (Büchse der Pandora, Die)",Drama,1929,10,56
25771,"Andalusian Dog, An (Chien andalou, Un)",Fantasy,1929,8,62
33312,"Cocoanuts, The",Comedy|Musical,1928,1,79
59846,"Iron Mask, The",Adventure|Drama|Romance,1928,7,60
1927,All Quiet on the Western Front,Action|Drama|War,1930,9,76
2219,Murder!,Mystery|Thriller,1929,5,70
4970,"Blue Angel, The (Blaue Engel, Der)",Drama,1929,7,95
7706,Animal Crackers,Comedy|Musical,1929,5,90
25774,"Golden Age, The (Âge d'Or, L')",Comedy|Drama|Romance,1929,3,89
1260,M,Crime|Film-Noir|Thriller,1931,5,85
1928,Cimarron,Drama|Western,1930,2,77
2215,Rich and Strange,Comedy|Romance,1930,10,62
2644,Dracula,Horror,1930,2,80
2648,Frankenstein,Drama|Horror|Sci-Fi,1931,3,56
3307,City Lights,Comedy|Drama|Romance,1931,6,100
5560,À nous la liberté (Freedom for Us),Comedy|Musical,1931,7,58
5599,Tabu: A Story of the South Seas,Drama|Romance,1931,3,97
7056,"Public Enemy, The",Action|Crime|Drama,1931,6,51
8228,"Maltese Falcon, The (a.k.a. Dangerous Female)",Mystery,1930,8,58
25773,Little Caesar,Crime|Drama,1930,1,84
25777,Monkey Business,Comedy,1930,8,65
32280,The 3 Penny Opera,Comedy|Drama|Musical,1931,2,76
72683,Limit (Limite),Drama,1931,4,61
976,"Farewell to Arms, A",Romance|War,1931,8,94
1929,Grand Hotel,Drama|Romance,1931,4,64
2214,Number Seventeen (a.k.a. Number 17),Thriller,1931,6,52
2633,"Mummy, The",Horror|Romance,1932,6,65
2904,Rain,Drama,1931,4,63
3739,Trouble in Paradise,Comedy|Romance,1932,8,56
7091,Horse Feathers,Comedy,1931,4,75
7881,White Zombie,Horror,1931,1,63
8044,I Am a Fugitive from a Chain Gang,Crime|Drama|Film-Noir,1931,9,73
8507,Freaks,Crime|Drama|Horror,1931,9,77
25788,Scarface,Crime|Drama,1931,5,63
25792,"I Was Born, But... (a.k.a. Children of Tokyo) (Otona no miru ehon - Umarete wa mita keredo)",Comedy|Drama,1931,6,55
53038,Red Dust,Drama,1932,5,93
123663,The Passionate Plumber,Comedy,1932,8,63
1256,Duck Soup,Comedy|Musical|War,1933,10,89
2366,King Kong,Action|Adventure|Fantasy|Horror,1933,2,63
3932,"Invisible Man, The",Horror|Sci-Fi,1933,7,76
4921,Little Women,Drama|Romance,1932,9,63
7080,42nd Street,Drama|Musical|Romance,1933,2,65
7081,I'm No Angel,Comedy,1933,2,68
8256,Queen Christina,Drama|Romance,1933,10,81
8670,"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse)",Crime|Horror|Mystery|Thriller,1933,5,96
25795,Dinner at Eight,Comedy|Drama|Romance,1933,4,74
25801,She Done Him Wrong,Comedy|Romance,1932,10,82
48301,"Private Life of Henry VIII, The",Comedy|Drama,1933,5,52
71102,"Three Musketeers, The",Action|Adventure|Thriller,1932,7,78
80748,Alice in Wonderland,Adventure|Children|Fantasy,1932,1,59
905,It Happened One Night,Comedy|Romance,1933,1,86
907,"Gay Divorcee, The",Comedy|Musical|Romance,1934,4,72
950,"Thin Man, The",Comedy|Crime,1934,1,97
2212,"Man Who Knew Too Much, The",Drama|Thriller,1933,5,98
3086,Babes in Toyland,Children|Comedy|Fantasy|Musical,1934,1,95
4278,Triumph of the Will (Triumph des Willens),Documentary,1933,8,97
5097,Bright Eyes,Comedy|Drama,1934,1,60
25805,"Atalante, L'",Comedy|Drama|Romance,1933,10,73
25807,"Black Cat, The",Adventure|Crime|Horror|Thriller,1933,8,65
32160,Twentieth Century,Comedy,1934,1,73
39779,Tarzan and His Mate,Action|Adventure,1933,6,82
70121,'Neath the Arizona Skies,Western,1934,4,88
98458,Baby Take a Bow,Children|Comedy|Drama,1934,3,98
99270,Stand Up and Cheer!,Comedy|Musical,1933,6,83
945,Top Hat,Comedy|Musical|Romance,1935,4,77
965,"39 Steps, The",Drama|Mystery|Thriller,1935,4,97
1340,"Bride of Frankenstein, The (Bride of Frankenstein)",Drama|Horror|Sci-Fi,1934,6,53
1931,Mutiny on the Bounty,Adventure|Drama,1935,9,62
7132,"Night at the Opera, A",Comedy|Musical|Romance,1934,8,62
8167,Captain Blood,Action|Adventure|Romance,1935,10,61
8572,"Littlest Rebel, The",Children|Drama,1935,1,61
52913,Sylvia Scarlett,Comedy|Drama|Romance,1935,4,64
87383,Curly Top,Children|Musical|Romance,1934,5,91
91286,"Little Colonel, The",Children|Comedy|Crime|Drama,1934,3,54
99085,Our Little Girl,Comedy|Drama|Romance,1934,6,67
947,My Man Godfrey,Comedy|Romance,1935,5,91
961,Little Lord Fauntleroy,Drama,1936,7,63
1932,"Great Ziegfeld, The",Drama|Musical,1936,4,54
2210,Sabotage,Thriller,1936,5,83
3462,Modern Times,Comedy|Drama|Romance,1936,10,84
4999,Dodsworth,Drama|Romance,1935,7,50
5098,Dimples,Musical,1935,4,85
7050,Follow the Fleet,Comedy|Musical|Romance,1935,7,69
7055,Swing Time,Comedy|Musical|Romance,1935,6,82
7834,After the Thin Man,Comedy|Crime|Mystery|Romance,1936,3,85
25825,Fury,Drama|Film-Noir,1936,3,95
25826,Libeled Lady,Comedy|Romance,1935,4,70
25827,Mr. Deeds Goes to Town,Comedy|Romance,1936,3,68
25828,"Petrified Forest, The",Crime|Drama|Romance,1936,8,64
47606,Captain January,Children|Comedy|Musical,1936,1,77
99089,Poor Little Rich Girl,Adventure|Musical|Romance,1936,3,51
99273,Stowaway,Adventure|Musical,1935,6,92
164977,The Gay Desperado,Comedy,1935,8,60
594,Snow White and the Seven Dwarfs,Animation|Children|Drama|Fantasy|Musical,1936,9,59
944,Lost Horizon,Drama,1937,5,88
1066,Shall We Dance,Comedy|Musical|Romance,1937,9,90
1067,"Damsel in Distress, A",Comedy|Musical|Romance,1936,3,62
1933,"Life of Emile Zola, The",Drama,1937,8,51
3134,Grand Illusion (La grande illusion),Drama|War,1936,7,51
3217,"Star Is Born, A",Drama,1937,9,53
3447,"Good Earth, The",Drama,1937,3,65
4800,King Solomon's Mines,Action|Adventure|Drama|Romance|Thriller,1936,6,98
5099,Heidi,Children|Drama,1936,7,89
6035,Pépé le Moko,Crime|Drama|Romance,1937,3,97
6254,"Awful Truth, The",Comedy|Romance,1937,1,72
6515,You Only Live Once,Crime|Film-Noir,1936,9,74
8542,"Day at the Races, A",Comedy|Musical,1937,9,58
25839,Nothing Sacred,Comedy|Drama|Romance,1936,4,89
25841,Stage Door,Drama,1937,2,61
25842,Topper,Comedy|Fantasy|Romance,1936,10,63
32349,Stella Dallas,Drama,1936,9,99
36553,In Old Chicago,Action|Drama|Musical|War,1936,8,79
60343,Wee Willie Winkie,Adventure,1937,4,60
940,"Adventures of Robin Hood, The",Action|Adventure|Romance,1938,5,95
955,Bringing Up Baby,Comedy|Romance,1938,1,78
1099,"Christmas Carol, A",Children|Drama|Fantasy,1938,6,60
1934,You Can't Take It with You,Comedy|Romance,1937,5,52
2208,"Lady Vanishes, The",Drama|Mystery|Thriller,1938,9,81
7078,Jezebel,Drama,1937,9,96
7086,Pygmalion,Comedy|Drama,1938,2,59
7222,Reefer Madness (a.k.a. Tell Your Children),Comedy|Drama,1937,3,72
8600,Angels with Dirty Faces,Crime|Drama|Film-Noir|Thriller,1937,4,58
25850,Holiday,Comedy|Drama|Romance,1938,10,71
34002,Room Service,Comedy,1938,6,90
98441,Rebecca of Sunnybrook Farm,Children|Comedy|Drama|Musical,1937,9,61
98611,Just Around the Corner,Comedy|Musical,1937,2,80
98803,Little Miss Broadway,Drama|Musical,1938,2,72
917,"Little Princess, The",Children|Drama,1938,10,52
919,"Wizard of Oz, The",Adventure|Children|Fantasy|Musical,1938,10,92
920,Gone with the Wind,Drama|Romance|War,1938,7,51
927,"Women, The",Comedy,1939,7,93
936,Ninotchka,Comedy|Romance,1939,3,54
954,Mr. Smith Goes to Washington,Drama,1938,10,100
962,They Made Me a Criminal,Crime|Drama,1938,1,89
2207,Jamaica Inn,Drama,1938,2,78
2649,Son of Frankenstein,Horror,1938,5,61
2847,Only Angels Have Wings,Adventure|Drama|Romance,1938,6,85
2899,Gulliver's Travels,Adventure|Animation|Children,1938,1,98
4178,Of Mice and Men,Drama,1939,4,91
6412,Destry Rides Again,Comedy|Western,1939,6,65
6513,Made for Each Other,Comedy|Drama|Romance,1939,3,70
6783,"Rules of the Game, The (La règle du jeu)",Comedy|Drama,1938,4,95
7061,Dark Victory,Drama|Romance,1939,5,65
7072,Stagecoach,Action|Drama|Romance|Western,1939,4,69
7079,"Hunchback of Notre Dame, The",Drama,1938,9,89
7311,"Goodbye, Mr. Chips",Drama|Romance,1939,3,80
7831,Another Thin Man,Comedy|Crime|Drama|Mystery|Romance,1938,10,55
7840,Gunga Din,Adventure|Comedy|War,1939,9,66
8404,"Hound of the Baskervilles, The",Crime|Mystery|Thriller,1938,2,65
25856,Wuthering Heights,Drama|Romance,1938,10,67
34018,At the Circus,Comedy|Musical,1938,6,75
59180,Tarzan Finds a Son!,Action|Adventure,1938,6,91
99276,Susannah of the Mounties,Drama,1938,1,96
596,Pinocchio,Animation|Children|Fantasy|Musical,1940,10,54
898,"Philadelphia Story, The",Comedy|Drama|Romance,1939,3,77
928,Rebecca,Drama|Mystery|Romance|Thriller,1939,3,78
929,Foreign Correspondent,Drama|Film-Noir|Mystery|Thriller,1939,6,72
941,"Mark of Zorro, The",Adventure,1940,5,62
951,His Girl Friday,Comedy|Romance,1939,6,76
1281,"Great Dictator, The",Comedy|Drama|War,1939,2,54
1282,Fantasia,Animation|Children|Fantasy|Musical,1939,8,70
2637,"Mummy's Hand, The",Horror,1939,1,81
3095,"Grapes of Wrath, The",Drama,1940,9,89
3097,"Shop Around the Corner, The",Comedy|Drama|Romance,1939,5,93
3122,Santa Fe Trail,Drama|Romance|Western,1939,4,56
3870,Our Town,Drama,1939,6,86
3929,"Bank Dick, The",Comedy,1940,2,89
5232,Road to Singapore,Comedy|Musical,1939,3,57
7219,They Drive by Night,Drama,1940,9,83
7579,Pride and Prejudice,Comedy|Drama|Romance,1939,1,87
8522,My Little Chickadee,Comedy|Western,1939,8,80
8712,My Favorite Wife,Comedy|Romance,1940,6,61
25852,Gaslight,Mystery|Thriller,1939,7,86
25865,"Letter, The",Drama|Film-Noir,1940,6,84
32844,Waterloo Bridge,Drama|Romance|War,1940,6,52
37211,Go West,Comedy|Musical|Western,1940,6,83
913,"Maltese Falcon, The",Film-Noir|Mystery,1940,3,63
923,Citizen Kane,Drama|Mystery,1941,4,59
956,Penny Serenade,Drama|Romance,1941,5,94
973,Meet John Doe,Comedy|Drama,1941,10,92
1029,Dumbo,Animation|Children|Drama|Musical,1941,6,51
1935,How Green Was My Valley,Drama|Musical|Romance,1941,3,62
2205,Mr. & Mrs. Smith,Comedy|Romance,1941,10,79
2206,Suspicion,Film-Noir|Mystery|Thriller,1941,3,87
2654,"Wolf Man, The",Drama|Fantasy|Horror,1940,2,90
2935,"Lady Eve, The",Comedy|Romance,1940,1,55
2936,Sullivan's Travels,Adventure|Comedy|Romance,1941,10,81
4801,"Little Foxes, The",Drama,1941,4,74
5234,Road to Zanzibar,Comedy,1940,4,58
7208,Dr. Jekyll and Mr. Hyde,Drama|Horror,1941,4,62
7216,High Sierra,Crime|Drama|Film-Noir|Thriller,1941,10,51
7833,Shadow of the Thin Man,Comedy|Crime|Mystery,1940,8,55
25868,Ball of Fire,Comedy|Romance,1941,10,54
25874,Never Give a Sucker an Even Break,Comedy|Musical,1941,7,84
31116,Sergeant York,Drama|War,1940,4,53
32882,"Big Store, The",Comedy|Musical,1941,4,68
42681,49th Parallel,Adventure|Drama|Thriller|War,1941,8,95
912,Casablanca,Drama|Romance,1942,1,85
946,To Be or Not to Be,Comedy|Drama|War,1941,10,72
1936,Mrs. Miniver,Drama|War,1941,10,90
2018,Bambi,Animation|Children|Drama,1942,10,78
2204,Saboteur,Mystery|Thriller,1942,10,96
2638,"Mummy's Tomb, The",Horror,1941,7,62
2650,"Ghost of Frankenstein, The",Horror,1941,8,89
2937,"Palm Beach Story, The",Comedy,1942,9,90
3061,Holiday Inn,Comedy|Musical,1941,8,78
3628,Flying Tigers,Action|Drama|Romance|War,1942,6,50
4920,"Now, Voyager",Drama|Romance,1942,10,55
5177,"Magnificent Ambersons, The",Drama|Romance,1941,1,93
5231,Road to Morocco,Comedy,1942,6,52
5644,"Pride of the Yankees, The",Drama,1941,2,65
6228,"Talk of the Town, The",Comedy|Romance|Thriller,1942,2,97
6743,Jungle Book,Adventure|Fantasy,1941,8,81
6856,Yankee Doodle Dandy,Drama|Musical,1941,7,80
7583,In This Our Life,Drama,1942,6,96
7584,Woman of the Year,Comedy|Romance,1942,6,85
7713,Cat People,Drama|Horror|Romance|Thriller,1942,6,61
8331,"Man Who Came to Dinner, The",Comedy,1941,3,72
8336,"Major and the Minor, The",Comedy|Romance,1942,6,99
8422,Kings Row,Drama|Romance,1942,7,99
8465,Johnny Eager,Crime|Drama|Film-Noir|Romance,1942,1,74
8765,This Gun for Hire,Crime|Film-Noir|Thriller,1941,3,93
25886,Random Harvest,Drama|Romance,1941,1,56
45179,"Glass Key, The",Crime|Drama|Film-Noir|Mystery,1941,1,78
71525,A-Haunting We Will Go,Comedy,1941,10,72
897,For Whom the Bell Tolls,Adventure|Drama|Romance|War,1943,8,64
2203,Shadow of a Doubt,Crime|Drama|Thriller,1942,4,54
2651,Frankenstein Meets the Wolf Man,Horror,1943,9,81
2653,Son of Dracula,Horror,1943,9,92
3377,Hangmen Also Die!,Drama|War,1942,9,50
3611,Saludos Amigos,Animation|Children|Comedy,1943,1,75
3936,Phantom of the Opera,Horror|Musical|Thriller,1943,8,70
4923,Guadalcanal Diary,Action|War,1943,8,97
5001,Sahara,Action|Drama|War,1942,5,89
5825,"Life and Death of Colonel Blimp, The",Drama|Romance|War,1943,2,73
6477,"Song of Bernadette, The",Drama,1942,3,60
7883,I Walked with a Zombie,Drama|Horror,1943,1,81
8612,Lassie Come Home,Adventure|Children|Drama,1942,3,76
8700,Destination Tokyo,Adventure|War,1942,3,99
25882,"Hard Way, The",Drama,1943,3,54
25891,Heaven Can Wait,Comedy|Fantasy|Romance,1943,10,93
25898,Day of Wrath (Vredens dag),Drama,1943,8,70
45679,"Seventh Victim, The",Drama|Film-Noir|Horror|Mystery,1942,1,59
47493,Cabin in the Sky,Fantasy|Musical,1942,6,94
77435,This Is the Army,Comedy|Musical|War,1942,1,82
128235,Stormy Weather,Comedy|Documentary|Drama,1943,4,75
906,Gaslight,Drama|Thriller,1944,1,58
918,Meet Me in St. Louis,Musical,1944,2,70
942,Laura,Crime|Film-Noir|Mystery,1943,7,51
1069,"Murder, My Sweet",Crime|Film-Noir|Thriller,1943,5,74
1269,Arsenic and Old Lace,Comedy|Mystery|Thriller,1943,1,93
1937,Going My Way,Comedy|Drama|Musical,1943,3,60
2202,Lifeboat,Drama|War,1944,3,88
2635,"Mummy's Curse, The",Horror,1943,4,89
2636,"Mummy's Ghost, The",Horror,1944,8,77
2647,House of Frankenstein,Horror,1944,10,73
3435,Double Indemnity,Crime|Drama|Film-Noir,1944,9,74
3643,"Fighting Seabees, The",Action|Drama|War,1944,10,83
6983,Jane Eyre,Drama|Romance,1943,2,61
7059,National Velvet,Children|Drama,1944,9,64
7215,To Have and Have Not,Adventure|Drama|Romance|Thriller|War,1944,5,62
25900,"Curse of the Cat People, The",Drama,1944,6,51
25901,"Henry V (Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France, The)",Drama|War,1943,1,56
25904,Ministry of Fear,Drama|Film-Noir|Thriller,1943,9,67
25906,Mr. Skeffington,Drama|Romance,1943,8,68
25911,"Woman in the Window, The",Crime|Film-Noir|Thriller,1944,5,80
33587,"Uninvited, The",Horror|Mystery|Romance,1943,8,93
38384,Hail the Conquering Hero,Comedy,1943,2,68
931,Spellbound,Mystery|Romance|Thriller,1944,6,100
966,A Walk in the Sun,Drama|War,1944,8,88
1024,"Three Caballeros, The",Animation|Children|Musical,1944,7,75
1337,"Body Snatcher, The",Drama|Horror|Thriller,1944,9,59
1938,"Lost Weekend, The",Drama,1945,7,98
2612,Mildred Pierce,Drama|Film-Noir,1945,10,52
2920,Children of Paradise (Les enfants du paradis),Drama|Romance,1944,9,75
3599,Anchors Aweigh,Comedy|Musical,1944,5,66
3849,The Spiral Staircase,Horror|Mystery|Thriller,1944,5,96
3966,Detour,Crime|Film-Noir,1944,4,65
4194,I Know Where I'm Going!,Drama|Romance|War,1944,4,93
4969,And Then There Were None,Crime|Mystery,1945,7,61
5169,Scarlet Street,Film-Noir,1945,1,69
5304,"Rome, Open City (a.k.a. Open City) (Roma, città aperta)",Drama|War,1945,7,98
7702,"Bells of St. Mary's, The",Drama,1945,4,86
7832,"Thin Man Goes Home, The",Comedy|Crime|Mystery,1945,5,82
8460,State Fair,Musical|Romance,1944,3,94
8482,"Picture of Dorian Gray, The",Drama|Fantasy|Horror,1944,4,100
8583,"Clock, The",Adventure|Drama|Romance,1944,6,64
8584,Leave Her to Heaven,Drama|Film-Noir,1944,10,95
25916,They Were Expendable,Drama|War,1944,6,93
47714,Blithe Spirit,Comedy|Drama|Fantasy|Romance,1945,10,80
61634,Son of Lassie,Children|Drama,1944,6,99
80346,"Song to Remember, A",Drama,1944,4,93
87598,"Dolly Sisters, The",Drama|Musical|Romance,1945,4,99
930,Notorious,Film-Noir|Romance|Thriller,1946,5,85
953,It's a Wonderful Life,Children|Drama|Fantasy|Romance,1945,9,58
960,Angel on My Shoulder,Crime|Drama,1945,7,84
1284,"Big Sleep, The",Crime|Film-Noir|Mystery,1946,5,63
1939,"Best Years of Our Lives, The",Drama|War,1946,3,63
2099,Song of the South,Adventure|Animation|Children|Musical,1945,4,73
2927,Brief Encounter,Drama|Romance,1946,4,66
2940,Gilda,Drama|Film-Noir|Mystery|Romance,1946,4,85
3775,Make Mine Music,Animation|Children|Musical,1945,1,87
3792,Duel in the Sun,Drama|Romance|Western,1946,10,88
3965,"Strange Love of Martha Ivers, The",Drama|Film-Noir,1946,6,78
5233,Road to Utopia,Comedy,1946,7,59
5375,"Harvey Girls, The",Comedy|Musical|Western,1946,3,75
5601,"Yearling, The",Children|Drama,1945,2,92
7064,Beauty and the Beast (La belle et la bête),Drama|Fantasy,1945,3,90
7210,My Darling Clementine,Western,1946,9,100
7728,"Postman Always Rings Twice, The",Crime|Drama|Film-Noir|Thriller,1946,2,100
7943,"Killers, The",Crime|Film-Noir,1945,2,54
8003,Bedlam,Drama|Horror,1945,6,59
8208,"Razor's Edge, The",Drama,1946,10,64
8766,Black Angel,Drama|Film-Noir|Mystery,1946,8,76
25920,"Blue Dahlia, The",Crime|Drama|Film-Noir|Mystery|Thriller,1946,3,85
25927,"Stranger, The",Drama|Film-Noir|Thriller,1946,5,83
33760,Anna and the King of Siam,Drama|Romance,1946,10,81
47728,Green for Danger,Crime|Mystery,1946,1,100
68872,Paisan (Paisà),Drama|War,1946,8,100
943,"Ghost and Mrs. Muir, The",Drama|Fantasy|Romance,1947,9,76
964,Angel and the Badman,Romance|Western,1946,8,91
1068,Crossfire,Crime|Film-Noir,1947,7,82
1154,T-Men,Film-Noir,1947,6,62
1940,Gentleman's Agreement,Drama,1947,10,67
2066,Out of the Past,Film-Noir,1946,7,66
2201,"Paradine Case, The",Drama,1946,8,53
2398,Miracle on 34th Street,Comedy|Drama,1947,3,79
3349,"Perils of Pauline, The",Comedy,1946,3,71
3380,Railroaded!,Film-Noir,1947,2,63
3632,Monsieur Verdoux,Comedy|Crime,1946,9,66
3656,Lured,Crime|Film-Noir|Mystery|Thriller,1947,1,58
3759,Fun and Fancy Free,Animation|Children|Musical,1946,8,96
4184,"Bishop's Wife, The",Comedy|Drama|Romance,1947,1,68
5167,My Favorite Brunette,Comedy|Mystery,1946,2,60
5289,Body and Soul,Drama|Film-Noir,1947,4,93
6047,Dead Reckoning,Drama|Film-Noir|Mystery,1946,9,69
6467,Quai des Orfèvres (Jenny Lamour),Crime|Drama,1946,10,78
6603,"Double Life, A",Crime|Drama|Film-Noir,1946,9,93
7058,Life with Father,Comedy,1947,3,70
7217,Dark Passage,Crime|Drama|Film-Noir|Romance|Thriller,1946,1,50
7826,"Secret Life of Walter Mitty, The",Comedy|Romance|Thriller,1946,4,89
7835,Song of the Thin Man,Comedy|Crime|Drama|Musical|Mystery|Romance,1947,7,66
8338,Black Narcissus,Drama,1946,2,95
8420,Possessed,Drama|Film-Noir,1946,1,57
8611,"Farmer's Daughter, The",Comedy,1946,3,84
8695,"Bachelor and the Bobby-Soxer, The",Comedy,1946,9,58
25929,Nightmare Alley,Drama|Film-Noir,1947,1,77
25930,Odd Man Out,Crime|Drama|Film-Noir|Thriller,1947,10,59
25940,"Lady from Shanghai, The",Drama|Film-Noir|Mystery,1947,9,53
41585,Kiss of Death,Crime|Drama|Film-Noir,1947,10,100
66686,"Unsuspected, The",Drama|Film-Noir|Thriller,1947,3,89
746,Force of Evil,Film-Noir,1947,3,73
1152,He Walked by Night,Crime|Film-Noir|Thriller,1947,2,96
1153,Raw Deal,Film-Noir,1948,3,63
1254,"Treasure of the Sierra Madre, The",Action|Adventure|Drama|Western,1948,7,50
1941,Hamlet,Drama,1948,5,76
2176,Rope,Crime|Drama|Thriller,1948,2,84
3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),Drama,1947,5,62
3334,Key Largo,Crime|Drama|Film-Noir|Thriller,1947,8,97
3928,Abbott and Costello Meet Frankenstein,Comedy|Horror,1947,4,90
5230,"Paleface, The",Comedy|Western,1947,3,55
5434,"Sorry, Wrong Number",Drama|Film-Noir|Thriller,1947,10,56
6276,Wake of the Red Witch,Action|Adventure|Drama,1947,3,81
7070,Red River,Action|Adventure|Western,1947,8,79
7919,Drunken Angel (Yoidore tenshi),Drama|Film-Noir,1948,6,58
8341,Oliver Twist,Adventure|Crime|Drama,1947,2,70
8463,Johnny Belinda,Drama,1947,7,94
8711,Mr. Blandings Builds His Dream House,Comedy,1947,5,63
8718,"Snake Pit, The",Drama,1947,3,95
8767,"Big Clock, The",Crime|Film-Noir|Thriller,1947,5,75
25937,Easter Parade,Musical|Romance,1948,3,57
25941,Letter from an Unknown Woman,Drama|Romance,1948,4,96
25947,Unfaithfully Yours,Comedy,1948,2,83
31973,Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null),Drama|War,1948,5,84
32371,Call Northside 777,Crime|Drama|Film-Noir,1947,1,77
46664,"Fallen Idol, The",Drama|Mystery|Thriller,1947,8,82
126006,Rudolph the Red-Nosed Reindeer,Animation|Children|Fantasy,1948,5,97
963,"Inspector General, The",Musical,1948,8,52
1026,So Dear to My Heart,Children|Drama,1948,2,84
1212,"Third Man, The",Film-Noir|Mystery|Thriller,1949,10,52
1942,All the King's Men,Drama,1948,1,52
2200,Under Capricorn,Drama,1948,3,53
2430,Mighty Joe Young,Adventure|Children|Drama,1949,4,79
3606,On the Town,Comedy|Musical|Romance,1949,6,79
3964,"Adventures of Ichabod and Mr. Toad, The",Animation|Children,1948,2,62
4338,Twelve O'Clock High,Drama|War,1949,1,81
5440,She Wore a Yellow Ribbon,Western,1949,1,63
6650,Kind Hearts and Coronets,Comedy|Drama,1949,7,98
7121,Adam's Rib,Comedy|Romance,1949,5,93
7212,I Was a Male War Bride,Comedy|Romance,1949,9,68
7407,Africa Screams,Adventure|Comedy,1949,5,53
7924,Stray Dog (Nora inu),Drama|Film-Noir|Thriller,1949,1,90
8257,Battleground,Action|Drama|War,1949,7,65
8263,Take Me Out to the Ball Game,Comedy|Musical|Romance,1948,1,71
8459,"Heiress, The",Drama|Romance,1949,1,50
8491,White Heat,Crime|Drama|Film-Noir,1948,10,95
8751,Gun Crazy (a.k.a. Deadly Is the Female),Crime|Drama|Film-Noir,1948,1,72
